12411-03-03: Bevölkerung nach Geschlecht, Nationalität und Altersgruppen bis 90+ (Stand  31.12.)
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1)
;;;;insgesamt;männlich;weiblich;Deutsche;Deutsche;Deutsche;Ausländer 2);Ausländer 2);Ausländer 2)
;;;;;;;zusammen;männlich;weiblich;zusammen;männlich;weiblich
04011244;Grolland (Ortsteil);2021-12-31;50 - 55;296;136;160;285;132;153;11;4;7
04011244;Grolland (Ortsteil);2021-12-31;55 - 60;301;146;155;291;142;149;10;4;6
04011244;Grolland (Ortsteil);2021-12-31;60 - 65;267;121;146;257;115;142;10;6;4
04011244;Grolland (Ortsteil);2021-12-31;65 - 70;182;93;89;175;89;86;7;4;3
04011244;Grolland (Ortsteil);2021-12-31;70 - 75;178;90;88;174;88;86;4;2;2
04011244;Grolland (Ortsteil);2021-12-31;75 - 80;152;66;86;150;65;85;2;1;1
04011244;Grolland (Ortsteil);2021-12-31;80 - 85;238;94;144;236;93;143;2;1;1
04011244;Grolland (Ortsteil);2021-12-31;85 - 90;122;50;72;121;50;71;1;0;1
04011244;Grolland (Ortsteil);2021-12-31;90 und mehr;50;30;20;49;29;20;1;1;0
04011244;Grolland (Ortsteil);2021-12-31;Insgesamt;3176;1531;1645;3016;1447;1569;160;84;76
0401125;Woltmershausen (Stadtteil);2021-12-31;unter 3;369;182;187;275;138;137;94;44;50
0401125;Woltmershausen (Stadtteil);2021-12-31;3 - 6;393;208;185;300;159;141;93;49;44
0401125;Woltmershausen (Stadtteil);2021-12-31;6 - 10;496;259;237;386;201;185;110;58;52
0401125;Woltmershausen (Stadtteil);2021-12-31;10 - 15;561;271;290;451;209;242;110;62;48
0401125;Woltmershausen (Stadtteil);2021-12-31;15 - 18;351;177;174;271;137;134;80;40;40
0401125;Woltmershausen (Stadtteil);2021-12-31;18 - 20;214;102;112;175;84;91;39;18;21
0401125;Woltmershausen (Stadtteil);2021-12-31;20 - 25;876;479;397;627;320;307;249;159;90
0401125;Woltmershausen (Stadtteil);2021-12-31;25 - 30;961;534;427;608;316;292;353;218;135
0401125;Woltmershausen (Stadtteil);2021-12-31;30 - 35;990;517;473;715;367;348;275;150;125
0401125;Woltmershausen (Stadtteil);2021-12-31;35 - 40;957;515;442;693;367;326;264;148;116
0401125;Woltmershausen (Stadtteil);2021-12-31;40 - 45;900;476;424;684;352;332;216;124;92
0401125;Woltmershausen (Stadtteil);2021-12-31;45 - 50;845;453;392;615;327;288;230;126;104
0401125;Woltmershausen (Stadtteil);2021-12-31;50 - 55;1031;557;474;854;455;399;177;102;75
0401125;Woltmershausen (Stadtteil);2021-12-31;55 - 60;1113;568;545;984;500;484;129;68;61
0401125;Woltmershausen (Stadtteil);2021-12-31;60 - 65;918;479;439;831;433;398;87;46;41
0401125;Woltmershausen (Stadtteil);2021-12-31;65 - 70;742;372;370;678;352;326;64;20;44
0401125;Woltmershausen (Stadtteil);2021-12-31;70 - 75;671;305;366;612;279;333;59;26;33
0401125;Woltmershausen (Stadtteil);2021-12-31;75 - 80;494;226;268;455;202;253;39;24;15
0401125;Woltmershausen (Stadtteil);2021-12-31;80 - 85;475;182;293;459;171;288;16;11;5
0401125;Woltmershausen (Stadtteil);2021-12-31;85 - 90;266;86;180;254;80;174;12;6;6
0401125;Woltmershausen (Stadtteil);2021-12-31;90 und mehr;102;19;83;94;17;77;8;2;6
0401125;Woltmershausen (Stadtteil);2021-12-31;Insgesamt;13725;6967;6758;11021;5466;5555;2704;1501;1203
04011251;Woltmershausen (Ortsteil);2021-12-31;unter 3;288;142;146;200;102;98;88;40;48
04011251;Woltmershausen (Ortsteil);2021-12-31;3 - 6;309;160;149;225;115;110;84;45;39
04011251;Woltmershausen (Ortsteil);2021-12-31;6 - 10;392;208;184;293;159;134;99;49;50
04011251;Woltmershausen (Ortsteil);2021-12-31;10 - 15;439;211;228;351;161;190;88;50;38
04011251;Woltmershausen (Ortsteil);2021-12-31;15 - 18;282;148;134;209;112;97;73;36;37
04011251;Woltmershausen (Ortsteil);2021-12-31;18 - 20;166;74;92;130;59;71;36;15;21
04011251;Woltmershausen (Ortsteil);2021-12-31;20 - 25;729;404;325;505;261;244;224;143;81
04011251;Woltmershausen (Ortsteil);2021-12-31;25 - 30;806;454;352;486;258;228;320;196;124
04011251;Woltmershausen (Ortsteil);2021-12-31;30 - 35;792;419;373;553;289;264;239;130;109
04011251;Woltmershausen (Ortsteil);2021-12-31;35 - 40;774;417;357;546;287;259;228;130;98
04011251;Woltmershausen (Ortsteil);2021-12-31;40 - 45;730;382;348;538;273;265;192;109;83
04011251;Woltmershausen (Ortsteil);2021-12-31;45 - 50;675;365;310;487;264;223;188;101;87
04011251;Woltmershausen (Ortsteil);2021-12-31;50 - 55;779;428;351;626;343;283;153;85;68
04011251;Woltmershausen (Ortsteil);2021-12-31;55 - 60;816;421;395;709;365;344;107;56;51
04011251;Woltmershausen (Ortsteil);2021-12-31;60 - 65;709;372;337;630;331;299;79;41;38
04011251;Woltmershausen (Ortsteil);2021-12-31;65 - 70;581;285;296;523;267;256;58;18;40
04011251;Woltmershausen (Ortsteil);2021-12-31;70 - 75;483;224;259;429;200;229;54;24;30
04011251;Woltmershausen (Ortsteil);2021-12-31;75 - 80;343;163;180;309;144;165;34;19;15
04011251;Woltmershausen (Ortsteil);2021-12-31;80 - 85;320;114;206;308;106;202;12;8;4
04011251;Woltmershausen (Ortsteil);2021-12-31;85 - 90;167;62;105;157;56;101;10;6;4
04011251;Woltmershausen (Ortsteil);2021-12-31;90 und mehr;65;12;53;58;10;48;7;2;5
04011251;Woltmershausen (Ortsteil);2021-12-31;Insgesamt;10645;5465;5180;8272;4162;4110;2373;1303;1070
